Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
53015.937658655996,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,59061.6186971972,61667.7568788344,52178.7927236492,58870.7906452624,53349.7184378536,58065.288307655996,49400.004152413596,58734.2711647524,59285.4358400388,61646.3625931216
52752.62337296,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,53015.937658655996,59061.6186971972,61667.7568788344,52178.7927236492,58870.7906452624,53349.7184378536,58065.288307655996,60676.9620737084,65000.4031123692,61062.283632123195
51038.088308144,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,52752.62337296,53015.937658655996,59061.6186971972,61667.7568788344,52178.7927236492,58870.7906452624,53349.7184378536,52994.618178138,72985.932462464,60558.2462295608
55267.8732429152,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,51038.088308144,52752.62337296,53015.937658655996,59061.6186971972,61667.7568788344,52178.7927236492,58870.7906452624,58057.1345414228,63696.8477877844,63244.8748008028
45332.8457111376,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,55267.8732429152,51038.088308144,52752.62337296,53015.937658655996,59061.6186971972,61667.7568788344,52178.7927236492,51462.9070094132,61248.3989567856,63490.8342813052
50175.5096069052,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,45332.8457111376,55267.8732429152,51038.088308144,52752.62337296,53015.937658655996,59061.6186971972,61667.7568788344,49032.6358407508,57387.0296064044,59672.477917934
44317.7392177016,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,50175.5096069052,45332.8457111376,55267.8732429152,51038.088308144,52752.62337296,53015.937658655996,59061.6186971972,57421.4399960124,62008.3449307588,70711.7797353492
40752.6732439232,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,44317.7392177016,50175.5096069052,45332.8457111376,55267.8732429152,51038.088308144,52752.62337296,53015.937658655996,49400.004152413596,58734.2711647524,59285.4358400388
53436.1932430424,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,40752.6732439232,44317.7392177016,50175.5096069052,45332.8457111376,55267.8732429152,51038.088308144,52752.62337296,58065.288307655996,60676.9620737084,65000.4031123692
50133.6186978172,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,53436.1932430424,40752.6732439232,44317.7392177016,50175.5096069052,45332.8457111376,55267.8732429152,51038.088308144,53349.7184378536,52994.618178138,72985.932462464
53437.016100185196,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,50133.6186978172,53436.1932430424,40752.6732439232,44317.7392177016,50175.5096069052,45332.8457111376,55267.8732429152,58870.7906452624,58057.1345414228,63696.8477877844
50692.862334142,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,53437.016100185196,50133.6186978172,53436.1932430424,40752.6732439232,44317.7392177016,50175.5096069052,45332.8457111376,52178.7927236492,51462.9070094132,61248.3989567856
53898.4893469064,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,50692.862334142,53437.016100185196,50133.6186978172,53436.1932430424,40752.6732439232,44317.7392177016,50175.5096069052,61667.7568788344,49032.6358407508,57387.0296064044
57727.542853134,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,53898.4893469064,50692.862334142,53437.016100185196,50133.6186978172,53436.1932430424,40752.6732439232,44317.7392177016,59061.6186971972,57421.4399960124,62008.3449307588
50052.6046718488,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,57727.542853134,53898.4893469064,50692.862334142,53437.016100185196,50133.6186978172,53436.1932430424,40752.6732439232,53015.937658655996,49400.004152413596,58734.2711647524
58844.0851907188,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,50052.6046718488,57727.542853134,53898.4893469064,50692.862334142,53437.016100185196,50133.6186978172,53436.1932430424,52752.62337296,58065.288307655996,60676.9620737084
47212.7002564616,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,58844.0851907188,50052.6046718488,57727.542853134,53898.4893469064,50692.862334142,53437.016100185196,50133.6186978172,51038.088308144,53349.7184378536,52994.618178138
52281.126230135604,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,47212.7002564616,58844.0851907188,50052.6046718488,57727.542853134,53898.4893469064,50692.862334142,53437.016100185196,55267.8732429152,58870.7906452624,58057.1345414228
47516.5589577392,0,0,0,0,1,0,0,0,0.01,82.9,53.5,90,19,6,52281.126230135604,47212.7002564616,58844.0851907188,50052.6046718488,57727.542853134,53898.4893469064,50692.862334142,45332.8457111376,52178.7927236492,51462.9070094132
37824.498698672,0,0,0,0,0,1,0,0,0.57,55.9,42.9,89,60,5.2,47516.5589577392,52281.126230135604,47212.7002564616,58844.0851907188,50052.6046718488,57727.542853134,53898.4893469064,50175.5096069052,61667.7568788344,49032.6358407508
31227.8774004288,0,0,0,0,0,0,1,0,0.32,56.6,44,88,47,5.1,37824.498698672,47516.5589577392,52281.126230135604,47212.7002564616,58844.0851907188,50052.6046718488,57727.542853134,44317.7392177016,59061.6186971972,57421.4399960124
26473.7828553044,1,0,0,0,0,0,0,0,0,61.2,36.9,94,34,2.6,31227.8774004288,37824.498698672,47516.5589577392,52281.126230135604,47212.7002564616,58844.0851907188,50052.6046718488,40752.6732439232,53015.937658655996,49400.004152413596
26847.4348033304,0,1,0,0,0,0,0,0,0,67.1,37.3,80,19,2.4,26473.7828553044,31227.8774004288,37824.498698672,47516.5589577392,52281.126230135604,47212.7002564616,58844.0851907188,53436.1932430424,52752.62337296,58065.288307655996
30207.310127772398,0,0,1,0,0,0,0,1,0.02,68.8,39.4,76,18,2.6,26847.4348033304,26473.7828553044,31227.8774004288,37824.498698672,47516.5589577392,52281.126230135604,47212.7002564616,50133.6186978172,51038.088308144,53349.7184378536
33546.5392184496,0,0,0,1,0,0,0,0,0,71.8,41.5,77,23,2.4,30207.310127772398,26847.4348033304,26473.7828553044,31227.8774004288,37824.498698672,47516.5589577392,52281.126230135604,53437.016100185196,55267.8732429152,58870.7906452624
34500.529867733996,0,0,0,0,1,0,0,0,0,68.9,40.9,78,28,2.9,33546.5392184496,30207.310127772398,26847.4348033304,26473.7828553044,31227.8774004288,37824.498698672,47516.5589577392,50692.862334142,45332.8457111376,52178.7927236492
39644.2098673768,0,0,0,0,0,1,0,0,0,72.9,42.2,88,32,2.7,34500.529867733996,33546.5392184496,30207.310127772398,26847.4348033304,26473.7828553044,31227.8774004288,37824.498698672,53898.4893469064,50175.5096069052,61667.7568788344
49280.7646719024,0,0,0,0,0,0,1,0,0,85.4,46.8,59,9,2.7,39644.2098673768,34500.529867733996,33546.5392184496,30207.310127772398,26847.4348033304,26473.7828553044,31227.8774004288,57727.542853134,44317.7392177016,59061.6186971972
42466.535061986,1,0,0,0,0,0,0,0,0,90.7,49.1,54,10,2.7,49280.7646719024,39644.2098673768,34500.529867733996,33546.5392184496,30207.310127772398,26847.4348033304,26473.7828553044,50052.6046718488,40752.6732439232,53015.937658655996
49540.5631134428,0,1,0,0,0,0,0,0,0,82.7,50.2,54,12,3,42466.535061986,49280.7646719024,39644.2098673768,34500.529867733996,33546.5392184496,30207.310127772398,26847.4348033304,58844.0851907188,53436.1932430424,52752.62337296
40722.07791925,0,0,1,0,0,0,0,0,0,74,47.8,75,20,3,49540.5631134428,42466.535061986,49280.7646719024,39644.2098673768,34500.529867733996,33546.5392184496,30207.310127772398,47212.7002564616,50133.6186978172,51038.088308144
47763.2664901896,0,0,0,1,0,0,0,0,0.04,75.1,45.9,89,33,2,40722.07791925,49540.5631134428,42466.535061986,49280.7646719024,39644.2098673768,34500.529867733996,33546.5392184496,52281.126230135604,53437.016100185196,55267.8732429152
45386.4810358092,0,0,0,0,1,0,0,0,0,80.2,47.7,76,13,2.6,47763.2664901896,40722.07791925,49540.5631134428,42466.535061986,49280.7646719024,39644.2098673768,34500.529867733996,47516.5589577392,50692.862334142,45332.8457111376
46656.1496071496,0,0,0,0,0,1,0,0,0.02,82.2,47.6,61,14,2.7,45386.4810358092,47763.2664901896,40722.07791925,49540.5631134428,42466.535061986,49280.7646719024,39644.2098673768,37824.498698672,53898.4893469064,50175.5096069052
50786.5184380316,0,0,0,0,0,0,1,0,0,78.7,48,74,18,2.9,46656.1496071496,45386.4810358092,47763.2664901896,40722.07791925,49540.5631134428,42466.535061986,49280.7646719024,31227.8774004288,57727.542853134,44317.7392177016
44147.5573995316,1,0,0,0,0,0,0,0,0.05,66.3,44.2,89,42,2.9,50786.5184380316,46656.1496071496,45386.4810358092,47763.2664901896,40722.07791925,49540.5631134428,42466.535061986,26473.7828553044,50052.6046718488,40752.6732439232
47125.776620104,0,1,0,0,0,0,0,0,0,74.8,44.9,89,16,2.6,44147.5573995316,50786.5184380316,46656.1496071496,45386.4810358092,47763.2664901896,40722.07791925,49540.5631134428,26847.4348033304,58844.0851907188,53436.1932430424
42600.9599970416,0,0,1,0,0,0,0,0,0.04,69.1,42.2,83,25,2.9,47125.776620104,44147.5573995316,50786.5184380316,46656.1496071496,45386.4810358092,47763.2664901896,40722.07791925,30207.310127772398,47212.7002564616,50133.6186978172
44013.7309060344,0,0,0,1,0,0,0,1,0,64.9,39.9,87,13,6.3,42600.9599970416,47125.776620104,44147.5573995316,50786.5184380316,46656.1496071496,45386.4810358092,47763.2664901896,33546.5392184496,52281.126230135604,53437.016100185196
