Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
33447.8711665084,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,38560.5070103092,37461.4690883076,38865.3381791192,37911.1979194452,31647.3101276724,37109.0618156048,39095.2145427396,37070.911166256796,45154.1361007604,39363.3911660976
39730.3106465916,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,33447.8711665084,38560.5070103092,37461.4690883076,38865.3381791192,37911.1979194452,31647.3101276724,37109.0618156048,44462.4872696396,41896.519477609996,48929.329866732
27471.6093487416,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,39730.3106465916,33447.8711665084,38560.5070103092,37461.4690883076,38865.3381791192,37911.1979194452,31647.3101276724,32043.7776601124,43557.942854118,33930.6638937476
37831.4555817884,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,27471.6093487416,39730.3106465916,33447.8711665084,38560.5070103092,37461.4690883076,38865.3381791192,37911.1979194452,37050.638958466,44392.020776138,47279.9501265868
29745.3132446876,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,37831.4555817884,27471.6093487416,39730.3106465916,33447.8711665084,38560.5070103092,37461.4690883076,38865.3381791192,36813.5812961448,49194.6638926876,43384.3199969872
33862.1423353108,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,29745.3132446876,37831.4555817884,27471.6093487416,39730.3106465916,33447.8711665084,38560.5070103092,37461.4690883076,37534.9277896012,43091.3828541504,42042.6888282492
28058.605712337197,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,33862.1423353108,29745.3132446876,37831.4555817884,27471.6093487416,39730.3106465916,33447.8711665084,38560.5070103092,37696.955841538,35255.6135040452,33447.4971405344
28565.2612967176,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,28058.605712337197,33862.1423353108,29745.3132446876,37831.4555817884,27471.6093487416,39730.3106465916,33447.8711665084,39095.2145427396,37070.911166256796,45154.1361007604
36102.7823351552,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,28565.2612967176,28058.605712337197,33862.1423353108,29745.3132446876,37831.4555817884,27471.6093487416,39730.3106465916,37109.0618156048,44462.4872696396,41896.519477609996
33179.470127566,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,36102.7823351552,28565.2612967176,28058.605712337197,33862.1423353108,29745.3132446876,37831.4555817884,27471.6093487416,31647.3101276724,32043.7776601124,43557.942854118
35830.2670104988,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,33179.470127566,36102.7823351552,28565.2612967176,28058.605712337197,33862.1423353108,29745.3132446876,37831.4555817884,37911.1979194452,37050.638958466,44392.020776138
37507.4742831096,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,35830.2670104988,33179.470127566,36102.7823351552,28565.2612967176,28058.605712337197,33862.1423353108,29745.3132446876,38865.3381791192,36813.5812961448,49194.6638926876
31895.9625951876,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,37507.4742831096,35830.2670104988,33179.470127566,36102.7823351552,28565.2612967176,28058.605712337197,33862.1423353108,37461.4690883076,37534.9277896012,43091.3828541504
38689.3215557548,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,31895.9625951876,37507.4742831096,35830.2670104988,33179.470127566,36102.7823351552,28565.2612967176,28058.605712337197,38560.5070103092,37696.955841538,35255.6135040452
30195.5657121888,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,38689.3215557548,31895.9625951876,37507.4742831096,35830.2670104988,33179.470127566,36102.7823351552,28565.2612967176,33447.8711665084,39095.2145427396,37070.911166256796
43514.7054515236,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,30195.5657121888,38689.3215557548,31895.9625951876,37507.4742831096,35830.2670104988,33179.470127566,36102.7823351552,39730.3106465916,37109.0618156048,44462.4872696396
27044.2472708492,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,43514.7054515236,30195.5657121888,38689.3215557548,31895.9625951876,37507.4742831096,35830.2670104988,33179.470127566,27471.6093487416,31647.3101276724,32043.7776601124
