Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
12459.927271862,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,9313.994804548,12375.8462329068,11544.4612978996,13327.293505567999,13614.0966224312,13320.561038036,11412.8789602464,13817.641557482,11641.6332459448,13362.7511679032
12462.9942848488,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,12459.927271862,9313.994804548,12375.8462329068,11544.4612978996,13327.293505567999,13614.0966224312,13320.561038036,12858.489349756399,15225.624934007601,12213.518960190799
11692.8748043828,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,12462.9942848488,12459.927271862,9313.994804548,12375.8462329068,11544.4612978996,13327.293505567999,13614.0966224312,14778.065453519199,14459.5449340608,12793.4836354752
11224.3698693504,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,11692.8748043828,12462.9942848488,12459.927271862,9313.994804548,12375.8462329068,11544.4612978996,13327.293505567999,12491.0462328988,15133.2405184296,13599.8088302244
9726.4706486752,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,11224.3698693504,11692.8748043828,12462.9942848488,12459.927271862,9313.994804548,12375.8462329068,11544.4612978996,12317.2737653784,14393.1179210784,11252.1225966212
8824.8436357508,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,9726.4706486752,11224.3698693504,11692.8748043828,12462.9942848488,12459.927271862,9313.994804548,12375.8462329068,11298.576622592,14125.6145444736,11987.682077089601
7829.336103352401,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,8824.8436357508,9726.4706486752,11224.3698693504,11692.8748043828,12462.9942848488,12459.927271862,9313.994804548,9814.2919473704,9302.2503889644,10853.7849343112
9496.7438954444,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,7829.336103352401,8824.8436357508,9726.4706486752,11224.3698693504,11692.8748043828,12462.9942848488,12459.927271862,11412.8789602464,13817.641557482,11641.6332459448
12113.1303887692,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,9496.7438954444,7829.336103352401,8824.8436357508,9726.4706486752,11224.3698693504,11692.8748043828,12462.9942848488,13320.561038036,12858.489349756399,15225.624934007601
9379.5241551928,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,12113.1303887692,9496.7438954444,7829.336103352401,8824.8436357508,9726.4706486752,11224.3698693504,11692.8748043828,13614.0966224312,14778.065453519199,14459.5449340608
11467.8607784244,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,9379.5241551928,12113.1303887692,9496.7438954444,7829.336103352401,8824.8436357508,9726.4706486752,11224.3698693504,13327.293505567999,12491.0462328988,15133.2405184296
6890.007272248799,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,11467.8607784244,9379.5241551928,12113.1303887692,9496.7438954444,7829.336103352401,8824.8436357508,9726.4706486752,11544.4612978996,12317.2737653784,14393.1179210784
10012.4509083956,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,6890.007272248799,11467.8607784244,9379.5241551928,12113.1303887692,9496.7438954444,7829.336103352401,8824.8436357508,12375.8462329068,11298.576622592,14125.6145444736
8845.1906487364,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,10012.4509083956,6890.007272248799,11467.8607784244,9379.5241551928,12113.1303887692,9496.7438954444,7829.336103352401,9313.994804548,9814.2919473704,9302.2503889644
11886.3210381356,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,8845.1906487364,10012.4509083956,6890.007272248799,11467.8607784244,9379.5241551928,12113.1303887692,9496.7438954444,12459.927271862,11412.8789602464,13817.641557482
12919.829609492399,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,11886.3210381356,8845.1906487364,10012.4509083956,6890.007272248799,11467.8607784244,9379.5241551928,12113.1303887692,12462.9942848488,13320.561038036,12858.489349756399
10400.166233044,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,12919.829609492399,11886.3210381356,8845.1906487364,10012.4509083956,6890.007272248799,11467.8607784244,9379.5241551928,11692.8748043828,13614.0966224312,14778.065453519199
11147.9189602648,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,10400.166233044,12919.829609492399,11886.3210381356,8845.1906487364,10012.4509083956,6890.007272248799,11467.8607784244,11224.3698693504,13327.293505567999,12491.0462328988
9389.548051296,0,0,0,0,1,0,0,0,0.01,82.9,53.5,90,19,6,11147.9189602648,10400.166233044,12919.829609492399,11886.3210381356,8845.1906487364,10012.4509083956,6890.007272248799,9726.4706486752,11544.4612978996,12317.2737653784
5767.9293502488,0,0,0,0,0,1,0,0,0.57,55.9,42.9,89,60,5.2,9389.548051296,11147.9189602648,10400.166233044,12919.829609492399,11886.3210381356,8845.1906487364,10012.4509083956,8824.8436357508,12375.8462329068,11298.576622592
4456.9683113788,0,0,0,0,0,0,1,0,0.32,56.6,44,88,47,5.1,5767.9293502488,9389.548051296,11147.9189602648,10400.166233044,12919.829609492399,11886.3210381356,8845.1906487364,7829.336103352401,9313.994804548,9814.2919473704
6460.924674876001,1,0,0,0,0,0,0,0,0,61.2,36.9,94,34,2.6,4456.9683113788,5767.9293502488,9389.548051296,11147.9189602648,10400.166233044,12919.829609492399,11886.3210381356,9496.7438954444,12459.927271862,11412.8789602464
4394.1319477468,0,1,0,0,0,0,0,0,0,67.1,37.3,80,19,2.4,6460.924674876001,4456.9683113788,5767.9293502488,9389.548051296,11147.9189602648,10400.166233044,12919.829609492399,12113.1303887692,12462.9942848488,13320.561038036
