Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
49480.3449316288,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,51531.802593824,55467.229087057196,53616.3989573156,58682.9548011196,52198.1672691024,45378.1028539916,44405.4109060072,52924.6005158052,57103.0690869436,58276.7625933556
45920.290905902,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,49480.3449316288,51531.802593824,55467.229087057196,53616.3989573156,58682.9548011196,52198.1672691024,45378.1028539916,47867.3953213512,52121.7911652116,50914.9589575032
44673.8867501444,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,45920.290905902,49480.3449316288,51531.802593824,55467.229087057196,53616.3989573156,58682.9548011196,52198.1672691024,54058.0488274148,57531.328827173595,54181.028567666
42974.9859710416,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,44673.8867501444,45920.290905902,49480.3449316288,51531.802593824,55467.229087057196,53616.3989573156,58682.9548011196,48858.7885680356,59179.6612945916,60769.0472685072
49418.406230334396,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,42974.9859710416,44673.8867501444,45920.290905902,49480.3449316288,51531.802593824,55467.229087057196,53616.3989573156,58957.8638920096,56854.4914246232,53863.2561001556
39138.2275297496,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,49418.406230334396,42974.9859710416,44673.8867501444,45920.290905902,49480.3449316288,51531.802593824,55467.229087057196,46170.0654513392,60981.8680477132,50549.236360126
44565.2696072948,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,39138.2275297496,49418.406230334396,42974.9859710416,44673.8867501444,45920.290905902,49480.3449316288,51531.802593824,51704.303373032795,64359.6966189072,53075.931424885595
27674.1070110652,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,44565.2696072948,39138.2275297496,49418.406230334396,42974.9859710416,44673.8867501444,45920.290905902,49480.3449316288,44405.4109060072,52924.6005158052,57103.0690869436
37236.455062349196,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,27674.1070110652,44565.2696072948,39138.2275297496,49418.406230334396,42974.9859710416,44673.8867501444,45920.290905902,45378.1028539916,47867.3953213512,52121.7911652116
38639.2020752388,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,37236.455062349196,27674.1070110652,44565.2696072948,39138.2275297496,49418.406230334396,42974.9859710416,44673.8867501444,52198.1672691024,54058.0488274148,57531.328827173595
40479.8586984876,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,38639.2020752388,37236.455062349196,27674.1070110652,44565.2696072948,39138.2275297496,49418.406230334396,42974.9859710416,58682.9548011196,48858.7885680356,59179.6612945916
40245.1199972052,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,40479.8586984876,38639.2020752388,37236.455062349196,27674.1070110652,44565.2696072948,39138.2275297496,49418.406230334396,53616.3989573156,58957.8638920096,56854.4914246232
